#ff,follow friday
(u),"it means arms around you, hug for you"
*$,starbucks
**//,"it means wink wink, nudge nudge"
",!!!!",talk to the hand
02,"your (or my) two cents worth, also seen as m.02"
10q,thank you
1174,nude club
121,one to one
1337,elite 
14,it refers to the fourteen words
142n8ly,unfortunately
143,i love you
1432,i love you too
14aa41,one for all and all for one
182,i hate you
187,it means murder/ homicide
19,0 hand
1daful,it means wonderful
2,"it means to, too, two"
20,location
24/7,"twenty four seven, as in all the time"
2b,to be
2b ,to be or not to be
2b@,to be at
2bz4uqt,too busy for you cutey
2b~not2b,to be or not to be
2d4,to die for
2day,today
2dloo,toodle oo
2g2b4g,too good to be forgotten
2g2bt,too good to be true
2m,tomorrow
2nite,tonight
2qt,too cute
2u2,to you too
303,mom
4,"for, four"
404,i haven't a clue
411,information
420,marijuana
459,i love you
4col,for crying out loud
4e,forever
4eae,forever and ever
4eva,forever
4ever,forever
4nr,foreigner
4q,f*** you
511,too much information
53x,sex
5fs,5 finger salute
747,let's fly
8,"it means ate, it also refers to oral sex"
831,i love you
86,"out of, over, to get rid of, or kicked out"
88,hugs and kisses
8t,it means it
9,parent is watching
99,parent is no longer watching
::poof::,i'm gone
<3,it's a heart
=,it means reply
?^,hook up?
@,it means at 
@+,french equivalent of cul8r
@teotd,at the end of the day
a/n,author's note
a/s/l/p,age/sex/location/picture
a2d,agree to disagree
a3,"anytime, anyplace, anywhere"
aaaaa,american association against acronym abuse
aaf,as a friend 
aak,asleep at keyboard
aamof,as a matter of fact
aamoi,as a matter of interest
aar,at any rate
aar8,at any rate
aas,alive and smiling
aatk,always at the keyboard
aayf,"as always, your friend"
ab/abt,about
abc,always be creating/communicating 
abh,anywhere but here
abithiwtitb,a bird in the hand is worth two in the bush
abk,always be knolling
abt2,about to
acd,alt control delete
ack,acknowledgement
adad,another day another dollar
adbb,all done bye bye
addy,address
adidas,all day i dream about sex
adih,another day in hell
adip,another day in paradise
adm,aye dios mio
adn,advanced digital network 
adr,address
advd,advised
aeap,as early as possible
af,as f***
afagay,a friend as good as you
afahmasp,a fool and his money are soon parted
afaic,as far as i'm concerned
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afaiu,as far as i understand
afaiui,as far as i understand it
afap,as far as possible
afayc,as far as you're concerned
afc,away from computer
afdn,any f***ing day now
afgo,another f***ing growth opportunity
afiaa,as far as i am aware
afiniafi,a friend in need is a friend indeed
afj,april fools joke
afk,away from keyboard 
afpoe,a fresh pair of eyes
afu,all f***ed up
afw,away from window
afz,acronym free zone
agb,almost good bridge
agkwe,and god knows what else
ai,artificial intelligence 
aiamu,and i'm a monkey's uncle
aight,all right
aih,as it happens
aimb,as i mentioned before
aimp,always in my prayers
aisb,as i said before
aise,as i said earlier
aisi,as i see it
aitr,adult in the room
aka ,also known as
alap,as late as possible
alcon,all concerned
alol,actually laughing out loud
alotbsol,always look on the bright side of life
altg,"act locally, think globally"
alw,ain't life wonderful
ama,ask me anything
amap,as many as possible 
ambw,all my best wishes
amf,adios mother f***er
aml,all my love
amrmtyfts,all my roommates thank you for the show
anfawfos,and now for a word from our sponsor
anfscd,and now for something completely different
angb,almost nearly good bridge
aoas,all of a sudden
aob,abuse of bandwidth
aon,apropos of nothing
aor,agency on record 
aoyp,angel on your pillow
ap,apple pie
apac,asia-pacific
ar,action required
asafp,as soon as f***ing possible
asamof,as a matter of fact
asaygt,as soon as you get this
asl,age/sex/location
aslmh,age/sex/location/music/hobbies
atab,ain't that a bitch
atbims,all these bitches is my sons
atc,any two cards
atm,at the moment 
atsl,along the same line
atst,at the same time
atw,"all the web, around the web, all the way, at the weekend"
atwd,agree that we disagree
auntm,and u know this man
awc,"after while, crocodile"
awgthtgtta,are we going to have to go through this again
awhfy,are we having fun yet?
awltp,avoiding work like the plague
awniac,all we need is another chair
awol,absent without leave
awttw,a word to the wise
ayc,aren't you clever 
ayce,all you can eat
ayfkmwts,are you f***ing kidding me with this sh**
ayk,as you know
aymm,are you my mother
ayor,at your own risk
aysos,are you stupid or something
aytmtb,and you're telling me this because
ayv,are you vertical?
b,be
b&e;,breaking & entering
b&f;,back and forth
b/c,because
b/w,between
b2a,business-to-anyone
b2b,business-to-business
b2b2c,business-to-business-to-consumer
b2c,business-to-consumer
b2d,business-to-distributor
b2e,business-to-employee
b2g,business-to-government
b4,before
b4n,bye for now
b4u,before you
b4yki,before you know it
b@u ,back at you
bac,bad ass chick
bae,before anyone else
baesbo,before anyone else so back off
bak,back at keyboard
bamf,bad ass mother f***er
bau,business as usual
bb,be back 
bb4n,bye bye for now
bbamfic,big bad ass mother f***er in charge
bbb,bye bye babe 
bbbg,bye bye be good
bbfbbm,"body by fisher, brains by mattel"
bbfn,bye bye for now
bbiab,be back in a bit
bbiaf,be back in a few
bbias,be back in a sec
bbiaw,be back in a while
bbl,be back later
bbmfic,big bad mother f***er in charge
bbq,bar-b-que 
bbr,burnt beyond repair
bbs,be back soon 
bbsd,be back soon darling
bbsl,be back sooner or later
bbt,be back tomorrow
bbw,big beautiful woman 
bc,because
bcbg,bon chic bon genre 
bcbs,"big company, big school"
bcnu,be seeing you
bcoz,because
bd,big deal 
bdbi5m,busy daydreaming back in 5 minutes
bdc,big dumb company 
bde,big dick energy
bdn,big damn number
bdoa,brain dead on arrival
bdsm,"bondage, dominance, sadism, masochism"
beos,nudge
bf,boyfriend 
bf4l,best friends for life
bfbo,blinding flash of the bloody obvious
bfd,big f***ing deal 
bfe,bum f*** egypt
bff,best friends forever 
bffn,best friends for now
bfftte,best friends forever til the end
bfg,big f***ing gun
bfn,bye for now
bfr,big f***ing rock
bg,be good
bgbc,be glad be cheerful
bgf,best girlfriend
bhag,big hairy audacious goal
bhg,big hearted guy 
bhimbgo,"bloody hell, i must be getting old"
bhof,bald headed old fart
bi5,back in five
bibi,bye bye
bibo,"beer in, beer out"
bif,basis in fact 
bil,brother-in-law 
bio,bring it on
bioiya,break it off in your ass
bion,believe it or not
bioya,blow it out your ass
bioye,blow it out your ear
bioyiop,blow it out your i/o port
bioyn,blow it out your nose
bitd,back in the day
bitfob,"bring it the f*** on, bitch"
bj,blow job
bka,better known as
bl,belly laughing
blbblb,"back like bull, brain like bird"
blkbry,blackberry
blzrd,it means blizzard
bm,byte me
bmf,bad mother f***er
bmgwl,busting my gut with laughter
bmoc,big man on campus
bmof,bite me old fart
bmota,byte me on the ass
bms,baby making sex
bmw,"b*tch, moan, whine"
bn,been 
bndn,been nowhere done nothing
bnf,big name fan
bo,bug off 
boaisy,bend over and i'll show you
bobfoc,"body off baywatch, face off crimewatch"
boctaae,but of course there are always exceptions
bofh,bastard operator from hell
bohica,bend over here it comes again
bon,believe it or not
botec,back of the envelope calculation
botl,bra on the loose
botoh,but on the other hand
botus,bot of the united states
bplm,big person little mind
br,bathroom
brb,be right back
brics,"brazil, russia, india, china, south africa"
brl,belly roll laughs
brt,be right there
bruf,big requirements up front
bs,big smile 
bsaaw,big smile and a wink
bsbd&ne;,"book smart, brain dead & no experience"
bseg,big sh** eating grin
bsf,"but seriously, folks"
bsod,blue screen of death
bt,byte this
bta,but then again 
btd,bored to death
btdt,been there done that
btdtgts,"been there, done that, got the t-shirt"
btfldy,it means beautiful day
btfo,back the f*** off 
bthoom,beats the heck out of me
btn,better than nothing
btoiya,be there or it's your ass
btr,better
btsoom,beats the sh** out of me
bttt,back to the top 
btw,by the way 
btwbo,be there with bells on
btwitiailwu,by the way i think i am in love with you
btyc,better than you can
btyd,better than you do
buhbye,bye
bw,best wishes
bwdik,but what do i know
bwi,but what if
bwl,bursting with laughter
bwo,"black, white or other"
bwtm,"but wait, there's more"
byam,between you and me
byki,before you know it
bykt,but you knew that
byoa,bring your own advil
byob,bring your own bottle 
byod,bring your own device
byop,bring your own pencil
byow,build your own website 
bytme,better you than me
bz,busy
c,"it means see, it's also a programming language"
c ya,see ya
c%d,it means could
c%l,it means cool
c&g;,chuckle and grin
c-p,sleepy
c-t,city
c/p,cross post
c/s,change of subject
c4n,ciao for now
caac,cool as a cucumber
cas,crack a smile
cb,chat brat 
cbb,can't be bothered
cbf,can't be f***ed
cbj,covered blow job
cbm,covered by medicare
cc,carbon copy
cd,carpe diem 
cd9,code 9 - it means parents are around
cf,coffee freak 
cfv,call for vote
cha,click here asshole
chillaxin,it means chilling and relaxing
chln,it means chilling or to be chill
cico,"coffee in, coffee out"
cicyhw,can i copy your home work
cid,consider it done 
cil,check in later
cinba,clad in naught but air
cio,check it out 
cito,"cache in, trash out"
cld,it means cold
clm,career limiting move
cm,call me
cmao,chortling my ass off
cmap,cover my ass partner
cmb,call me back
cmf,count my fingers
cmiw,correct me if i'm wrong
cmu,crack me up
cn,can
cnp,continued in next post
cof$,church of scientology
cofs,church of scientology
cpg,consumer packaged goods
cqrt,security
